Date,Strategy,Ticker,Weight
2022-10-03,Minimum Variance,XOM,0.043347
2022-10-03,Minimum Variance,CAT,0.0
2022-10-03,Minimum Variance,AMZN,0.108417
2022-10-03,Minimum Variance,BRK-B,0.170083
2022-10-03,Minimum Variance,LLY,0.020547
2022-10-03,Minimum Variance,NEE,0.009514
2022-11-01,Minimum Variance,AAPL,0.0
2022-11-01,Minimum Variance,MSFT,0.0
2022-11-01,Minimum Variance,GOOGL,0.0
2022-11-01,Minimum Variance,JPM,0.0
2022-11-01,Minimum Variance,JNJ,0.415429
2022-11-01,Minimum Variance,PG,0.25276
2022-11-01,Minimum Variance,XOM,0.048797
2022-11-01,Minimum Variance,CAT,0.0
2022-11-01,Minimum Variance,AMZN,0.107275
2022-11-01,Minimum Variance,BRK-B,0.152278
2022-11-01,Minimum Variance,LLY,0.021068
2022-11-01,Minimum Variance,NEE,0.002392
2022-12-01,Minimum Variance,AAPL,0.0
2022-12-01,Minimum Variance,MSFT,0.0
2022-12-01,Minimum Variance,GOOGL,0.0
2022-12-01,Minimum Variance,JPM,0.0
2022-12-01,Minimum Variance,JNJ,0.425181
2022-12-01,Minimum Variance,PG,0.250441
2022-12-01,Minimum Variance,XOM,0.051455
2022-12-01,Minimum Variance,CAT,0.0
2022-12-01,Minimum Variance,AMZN,0.097077
2022-12-01,Minimum Variance,BRK-B,0.148627
2022-12-01,Minimum Variance,LLY,0.024675
2022-12-01,Minimum Variance,NEE,0.002543
2023-01-03,Minimum Variance,AAPL,0.0
2023-01-03,Minimum Variance,MSFT,0.0
2023-01-03,Minimum Variance,GOOGL,0.0
2023-01-03,Minimum Variance,JPM,0.0
2023-01-03,Minimum Variance,JNJ,0.426842
2023-01-03,Minimum Variance,PG,0.255575
2023-01-03,Minimum Variance,XOM,0.05061
2023-01-03,Minimum Variance,CAT,0.0
2023-01-03,Minimum Variance,AMZN,0.093209
2023-01-03,Minimum Variance,BRK-B,0.147192
2023-01-03,Minimum Variance,LLY,0.024946
2023-01-03,Minimum Variance,NEE,0.001626
2023-02-01,Minimum Variance,AAPL,0.0
2023-02-01,Minimum Variance,MSFT,0.0
2023-02-01,Minimum Variance,GOOGL,0.0
2023-02-01,Minimum Variance,JPM,0.0
2023-02-01,Minimum Variance,JNJ,0.42294
2023-02-01,Minimum Variance,PG,0.255139
2023-02-01,Minimum Variance,XOM,0.051397
2023-02-01,Minimum Variance,CAT,0.0
2023-02-01,Minimum Variance,AMZN,0.091517
2023-02-01,Minimum Variance,BRK-B,0.146887
2023-02-01,Minimum Variance,LLY,0.025154
2023-02-01,Minimum Variance,NEE,0.006966
2023-03-01,Minimum Variance,AAPL,0.0
2023-03-01,Minimum Variance,MSFT,0.0
2023-03-01,Minimum Variance,GOOGL,0.0
2023-03-01,Minimum Variance,JPM,0.0
2023-03-01,Minimum Variance,JNJ,0.418779
2023-03-01,Minimum Variance,PG,0.257775
2023-03-01,Minimum Variance,XOM,0.054046
2023-03-01,Minimum Variance,CAT,0.0
2023-03-01,Minimum Variance,AMZN,0.08813
2023-03-01,Minimum Variance,BRK-B,0.149136
2023-03-01,Minimum Variance,LLY,0.026399
2023-03-01,Minimum Variance,NEE,0.005734
2023-04-03,Minimum Variance,AAPL,0.0
2023-04-03,Minimum Variance,MSFT,0.0
2023-04-03,Minimum Variance,GOOGL,0.0
2023-04-03,Minimum Variance,JPM,0.0
2023-04-03,Minimum Variance,JNJ,0.418863
2023-04-03,Minimum Variance,PG,0.261798
2023-04-03,Minimum Variance,XOM,0.055314
2023-04-03,Minimum Variance,CAT,0.0
2023-04-03,Minimum Variance,AMZN,0.087696
2023-04-03,Minimum Variance,BRK-B,0.143066
2023-04-03,Minimum Variance,LLY,0.028547
2023-04-03,Minimum Variance,NEE,0.004715
2023-05-01,Minimum Variance,AAPL,0.0
2023-05-01,Minimum Variance,MSFT,0.0
2023-05-01,Minimum Variance,GOOGL,0.0
