Date,Strategy,Portfolio Value,Normalized Value,Daily Return
2022-05-13,S&P 500,1603124.2,1.64382,0.02387
2022-05-16,S&P 500,1596797.63,1.637333,-0.003946
2022-05-17,S&P 500,1629004.45,1.670357,0.02017
2022-05-18,S&P 500,1563200.39,1.602883,-0.040395
2022-05-19,S&P 500,1554081.02,1.593532,-0.005834
2022-05-20,S&P 500,1554308.14,1.593765,0.000146
2022-05-23,S&P 500,1583148.39,1.623337,0.018555
2022-05-24,S&P 500,1570291.96,1.610154,-0.008121
2022-05-25,S&P 500,1585132.42,1.625371,0.009451
2022-05-26,S&P 500,1616650.02,1.657689,0.019883
2022-05-27,S&P 500,1656649.6,1.698704,0.024742
2022-05-31,S&P 500,1646255.17,1.688046,-0.006274
2022-06-01,S&P 500,1633936.62,1.675414,-0.007483
2022-06-02,S&P 500,1664051.73,1.706294,0.018431
2022-06-03,S&P 500,1636848.96,1.678401,-0.016347
2022-06-06,S&P 500,1641984.41,1.683666,0.003137
2022-06-07,S&P 500,1657621.67,1.699701,0.009523
2022-06-08,S&P 500,1639729.39,1.681354,-0.010794
2022-06-09,S&P 500,1600705.98,1.64134,-0.023799
2022-06-10,S&P 500,1554108.94,1.59356,-0.02911
2022-06-13,S&P 500,1493858.58,1.53178,-0.038768
2022-06-14,S&P 500,1488221.23,1.526,-0.003774
2022-06-15,S&P 500,1509938.11,1.548268,0.014593
2022-06-16,S&P 500,1460847.07,1.497931,-0.032512
2022-06-17,S&P 500,1464062.2,1.501228,0.002201
2022-06-21,S&P 500,1499898.41,1.537974,0.024477
2022-06-22,S&P 500,1497946.18,1.535972,-0.001302
2022-06-23,S&P 500,1512224.93,1.550613,0.009532
2022-06-24,S&P 500,1558443.5,1.598005,0.030563
2022-06-27,S&P 500,1553810.14,1.593254,-0.002973
2022-06-28,S&P 500,1522511.68,1.561161,-0.020143
2022-06-29,S&P 500,1521428.04,1.56005,-0.000712
2022-06-30,S&P 500,1508101.43,1.546385,-0.008759
2022-07-01,S&P 500,1524017.65,1.562705,0.010554
2022-07-05,S&P 500,1526431.89,1.565181,0.001584
2022-07-06,S&P 500,1531886.09,1.570773,0.003573
